citycode	countrycode	latitude	longitude
ANK	TR	39.93333333333333	32.86666666666667
ANR	BE	51.18944444444444	4.460277777777778
ANU	AG	17.136666666666667	-61.79277777777778
ANV	US	62.649166666666666	-160.18972222222223
ANX	NO	69.2925	16.144166666666667
AOE	TR	39.809999999999995	30.516944444444444
AOG	CN	41.105555555555554	122.8561111111111
AOI	IT	43.61666666666667	13.360277777777778
AOJ	JP	40.734722222222224	140.69083333333333
AOK	GR	35.421388888888885	27.14611111111111
AOO	US	40.296388888888885	-78.32
AOQ	GL	72.88694444444445	-55.596111111111114
AOR	MY	6.194444444444445	100.40083333333334
AOS	US	57.471111111111114	-153.81555555555556
APF	US	26.153333333333332	-81.77527777777777
APJ	CN	30.398611111111112	81.1325
APK	PF	-15.573611111111111	-146.4152777777778
APL	MZ	-15.105555555555556	39.281666666666666
APN	US	45.07805555555556	-83.56027777777777
APO	CO	7.8125	-76.71666666666667
APW	WS	-13.833333333333334	-172.0
AQG	CN	30.5825	117.05027777777778
AQI	SA	28.335277777777776	46.125
AQJ	JO	29.611666666666668	35.018055555555556
AQP	PE	-16.340833333333332	-71.57249999999999
ARC	US	68.11472222222221	-145.57944444444445
ARD	ID	-8.133055555555556	124.59694444444445
ARH	RU	64.60027777777778	40.71666666666667
ARI	CL	-18.34861111111111	-70.3386111111111
ARK	TZ	-3.3672222222222223	36.625
ARM	AU	-30.528055555555554	151.61722222222224
ART	US	43.99194444444444	-76.02166666666666
ARU	BR	-21.141388888888887	-50.42472222222222
ARW	RO	46.17666666666666	21.261944444444445
ARX	BR	-4.569166666666667	-37.80555555555555
ASB	TM	37.98694444444445	58.36083333333333
ASD	BS	24.698333333333334	-77.79555555555555
ASE	US	39.219166666666666	-106.86722222222221
ASF	RU	46.28333333333333	48.006388888888885
ASJ	JP	28.430555555555557	129.71249999999998
ASK	CI	6.903888888888889	-5.365555555555555
ASM	ER	15.291944444444445	38.910555555555554
ASO	ET	10.018611111111111	34.58638888888889
ASP	AU	-23.7	133.86666666666667
ASR	TR	38.77027777777778	35.495555555555555
ASU	PY	-25.239722222222223	-57.51916666666666
ASV	KE	-2.645	37.25277777777778
ASW	EG	23.964444444444442	32.82
ATD	SB	-8.873333333333333	161.0113888888889
ATH	GR	37.936388888888885	23.944444444444446
ATK	US	70.46722222222222	-157.43583333333333
ATL	US	33.65	-84.43333333333334
ATM	BR	-3.253888888888889	-52.25388888888889
ATP	PG	-3.1333333333333333	142.35
ATQ	IN	31.709722222222222	74.79722222222222
ATT	US	60.86694444444444	-162.2738888888889
ATW	US	44.266666666666666	-88.51666666666667
ATY	US	44.91361111111111	-97.15111111111112
ATZ	EG	27.04638888888889	31.011944444444445
AUA	AW	12.501388888888888	-70.01527777777778
AUC	CO	7.068888888888889	-70.73694444444445
AUG	US	44.31805555555556	-69.79694444444445
AUH	AE	24.466666666666665	54.36666666666667
AUK	US	62.678888888888885	-164.65083333333334
AUL	MH	8.3025	171.1613888888889
AUQ	PF	-9.76888888888889	-139.0113888888889
AUR	FR	44.8975	2.4166666666666665
AUS	US	30.3	-97.78333333333333
AUU	AU	-13.35388888888889	141.72083333333333
AUW	US	44.766666666666666	-89.68055555555556
AUX	BR	-7.228055555555556	-48.24027777777778
AUY	VU	-20.249444444444446	169.77083333333334
AVA	CN	26.25722222222222	105.87277777777777
AVL	US	35.43611111111111	-82.54194444444444
AVN	FR	43.93333333333333	4.8
AVP	US	41.333333333333336	-75.71666666666667
AWA	ET	7.0675	38.49055555555556
AWD	VU	-19.2375	169.6011111111111
AWZ	IR	31.3375	48.76027777777778
AXA	AI	18.204722222222223	-63.055
AXD	GR	40.85583333333334	25.95638888888889
AXF	CN	38.823888888888895	105.6261111111111
AXJ	JP	32.48222222222223	130.1588888888889
AXM	CO	4.452777777777778	-75.76638888888888
AXP	BS	22.441944444444445	-73.97083333333333
AXR	PF	-15.248333333333333	-146.61666666666667
AXT	JP	39.61555555555556	140.2186111111111
AYJ	IN	26.75138888888889	82.15555555555557
AYL	AU	-18.016666666666666	135.55
AYP	PE	-13.154722222222222	-74.20444444444445
AYQ	AU	-25.18611111111111	130.97555555555556
AYT	TR	36.89861111111111	30.800555555555555
AZD	IR	31.90111111111111	54.28194444444444
AZO	US	42.235	-85.55194444444444
AZR	DZ	27.8375	-0.18638888888888888
AZS	DO	19.26722222222222	-69.74222222222222
BAG	PH	16.375	120.61972222222222
BAH	BH	26.270833333333332	50.63361111111111
BAK	AZ	40.36666666666667	49.88333333333333
BAL	TR	37.928888888888885	41.11666666666667
BAQ	CO	10.889722222222222	-74.78083333333333
BAR	CN	19.139166666666664	110.45361111111112
BAS	SB	-6.9911111111111115	155.88583333333332
BAV	CN	40.56055555555555	109.99638888888889
BAX	RU	53.363055555555555	83.54722222222222
BAY	RO	47.65833333333333	23.46833333333333
BAZ	BR	-0.9811111111111112	-62.91833333333333
BBA	CL	-45.91611111111111	-71.68944444444445
BBG	KI	3.086388888888889	172.81083333333333
BBI	IN	20.244444444444447	85.81777777777778
BBK	BW	-17.83277777777778	25.162499999999998
BBL	AU	-27.40361111111111	141.81166666666667
BBN	MY	3.7347222222222225	115.47833333333334
BBS	GB	51.323888888888895	-0.8475
BCA	CU	20.36527777777778	-74.50611111111111
BCD	PH	10.776666666666667	123.01916666666666
BCI	AU	-23.560833333333335	145.30416666666667
BCM	RO	46.52194444444444	26.910277777777775
BCN	ES	41.416666666666664	2.1666666666666665
BCO	ET	5.783888888888889	36.5625
BCT	US	26.378888888888888	-80.10749999999999
BCU	NG	10.2925	9.817222222222222
BDA	BM	32.36416666666667	-64.67861111111111
BDB	AU	-24.9025	152.32083333333333
BDD	AU	-10.15	142.17416666666665
BDH	IR	26.531388888888888	54.8275
BDJ	ID	-3.4422222222222225	114.7625
BDO	ID	-6.900555555555556	107.57638888888889
BDP	NP	26.570555555555554	88.08027777777778
BDQ	IN	22.33611111111111	73.22638888888889
BDR	US	41.16361111111111	-73.1261111111111
BDS	IT	40.660555555555554	17.948055555555555
BDT	CD	4.254722222222222	20.971944444444443
BDU	NO	69.05583333333333	18.540277777777778
BEB	GB	57.4775	-7.366388888888888
BEF	NI	11.990833333333333	-83.77416666666666
BEG	RS	44.78722222222222	20.4575
BEJ	ID	2.1552777777777776	117.43277777777779
BEK	IN	28.422222222222224	79.45083333333334
BEL	BR	-1.3791666666666667	-48.47638888888889
BEM	MA	32.4	-6.317222222222222
BEN	LY	32.09666666666667	20.269444444444442
BER	DE	52.53333333333333	13.416666666666666
BES	FR	48.447222222222216	-4.421666666666667
BET	US	60.78333333333333	-161.83333333333334
BEU	AU	-24.34611111111111	139.46027777777778
BEW	MZ	-19.79638888888889	34.9075
BEY	LB	33.82083333333334	35.48833333333334
BEZ	KI	-1.3544444444444446	176.00666666666666
BFD	US	41.80305555555555	-78.64
BFF	US	41.87416666666667	-103.59555555555555
BFJ	CN	27.26722222222222	105.4713888888889
BFL	US	35.433611111111105	-119.05666666666666
BFN	ZA	-29.092777777777776	26.302500000000002
BFS	GB	54.583333333333336	-5.916666666666667
BFV	TH	15.226666666666667	103.25111111111111
BFX	CM	5.5375	10.354166666666666
BGA	CO	7.126388888888888	-73.18472222222222
BGC	PT	41.85805555555556	-6.707222222222223
BGF	CF	4.397777777777778	18.52
BGG	TR	38.86138888888889	40.5925
BGI	BB	13.074722222222222	-59.4925
BGM	US	42.20861111111111	-75.97972222222222
BGN	RU	68.55694444444444	146.23111111111112
BGO	NO	60.29333333333333	5.218055555555556
BGR	US	44.8075	-68.82805555555555
BGS	RU	58.37861111111111	97.46722222222222
BGW	IQ	33.2625	44.23444444444444
BGX	BR	-31.383333333333333	-54.11666666666667
BHB	US	44.446666666666665	-68.36138888888888
BHE	NZ	-41.51777777777777	173.86916666666667
BHH	SA	19.984444444444446	42.62083333333334
BHI	AR	-38.727222222222224	-62.15333333333333
BHJ	IN	23.28777777777778	69.67027777777778
BHK	UZ	39.76638888888889	64.48
BHM	US	33.56305555555555	-86.75361111111111
BHO	IN	23.2875	77.33749999999999
BHQ	AU	-32.00138888888889	141.47166666666666
BHR	NP	27.678055555555556	84.42805555555556
BHU	IN	21.752222222222223	72.18527777777778
BHX	GB	52.45	-1.75
BHY	CN	21.539444444444445	109.29388888888889
BHZ	BR	-19.916666666666668	-43.93333333333333
BIA	FR	42.55	9.48472222222222
BIB	SO	3.1025	43.62777777777778
BID	US	41.168055555555554	-71.57888888888888
BIH	US	37.37361111111111	-118.36527777777778
BIK	ID	-1.19	136.10805555555555
BIL	US	45.80777777777777	-108.54277777777777
BIM	BS	25.7	-79.26472222222222
BIO	ES	43.301111111111105	-2.9105555555555553
BIQ	FR	43.468333333333334	-1.531111111111111
BIR	NP	26.482499999999998	87.26666666666667
BIS	US	46.77222222222222	-100.74583333333334
BIU	IS	65.6413888888889	-23.546111111111113
BJA	DZ	36.71194444444445	5.069999999999999
BJB	IR	37.490833333333335	57.30916666666666
BJF	NO	70.60027777777778	29.6925
BJI	US	47.50972222222222	-94.93305555555555
BJL	GM	13.338055555555556	-16.65222222222222
BJM	BI	-3.3238888888888884	29.31861111111111
BJR	ET	11.608055555555556	37.32166666666667
BJS	CN	39.919444444444444	116.43333333333334
BJU	NP	29.35	81.3
BJV	TR	37.13472222222222	27.66722222222222
BJW	ID	-8.707777777777777	121.05777777777777
BJX	MX	20.993333333333336	-101.48083333333334
BJZ	ES	38.89138888888889	-6.8213888888888885
BKA	RU	61.677499999999995	96.3536111111111
BKB	IN	28.016666666666666	73.3
BKC	US	65.98166666666667	-161.14916666666667
BKG	US	36.531666666666666	-93.19972222222222
BKI	MY	5.937222222222222	116.05305555555556
BKK	TH	13.733333333333333	100.5
BKM	MY	3.9738888888888892	115.61722222222221
BKN	TM	39.48027777777778	54.365833333333335
BKO	ML	12.53361111111111	-7.95
BKQ	AU	-24.4325	145.42805555555555
BKS	ID	-3.863611111111111	102.33916666666666
BKW	US	37.78722222222222	-81.12416666666665
BKY	CD	-2.3088888888888888	28.80888888888889
BKZ	TZ	-1.3325	31.821944444444444
BLA	VE	10.107222222222221	-64.68916666666667
BLB	PA	8.914444444444445	-79.59972222222221
BLI	US	48.79277777777778	-122.5375
BLJ	DZ	35.75222222222222	6.3086111111111105
BLL	DK	55.74027777777778	9.151666666666667
BLQ	IT	44.53111111111111	11.297222222222222
BLR	IN	13.19888888888889	77.70555555555556
BLV	US	38.54111111111111	-89.84888888888888
BLZ	MW	-15.679166666666665	34.973888888888894
BMB	CD	2.1838888888888888	22.479166666666664
BME	AU	-17.948888888888888	122.22833333333334
BMG	US	39.1425	-86.61527777777778
BMI	US	40.477222222222224	-88.91583333333334
BMK	DE	53.595555555555556	6.7091666666666665
BMO	MM	24.266666666666666	97.25
BMU	ID	-8.539722222222222	118.68722222222223
BMV	VN	12.668333333333333	108.12027777777777
BMW	DZ	21.3775	0.923611111111111
BMY	NC	-19.720555555555553	163.66111111111113
BNA	US	36.12444444444444	-86.67833333333334
BNC	CD	0.5777777777777777	29.468888888888888
BND	IR	27.21861111111111	56.37777777777778
BNE	AU	-27.384166666666665	153.1175
BNI	NG	6.316944444444444	5.599444444444444
BNK	AU	-28.833888888888886	153.5625
BNN	NO	65.46111111111111	12.2175
BNS	VE	8.619444444444445	-70.22083333333333
BNX	BA	44.94138888888889	17.297500000000003
BNY	SB	-11.302222222222223	159.79888888888888
BOB	PF	-16.444444444444446	-151.7513888888889
BOC	PA	9.340833333333334	-82.25083333333333
BOD	FR	44.833333333333336	-0.5666666666666667
BOG	CO	4.701666666666667	-74.14694444444446
BOH	GB	50.78	-1.8425000000000002
BOI	US	43.56444444444444	-116.22277777777778
BOJ	BG	42.569722222222225	27.51527777777778
BOM	IN	19.08861111111111	72.86805555555554
BON	BQ	12.131111111111112	-68.26861111111111
BOO	NO	67.26916666666666	14.365277777777777
BOS	US	42.36666666666667	-71.0
BOY	BF	11.16	-4.3308333333333335
BPA	PH	11.675833333333333	125.47833333333334
BPE	CN	39.66638888888889	119.06
BPG	BR	-15.862499999999999	-52.390277777777776
BPL	CN	44.895833333333336	82.3
BPN	ID	-1.2683333333333333	116.89444444444445
BPS	BR	-16.43861111111111	-39.08083333333334
BPT	US	30.083333333333332	-94.1
BPX	CN	30.551111111111112	97.11055555555555
BQB	AU	-33.6875	115.40222222222222
BQG	RU	52.37833333333333	140.44833333333332
BQJ	RU	67.64777777777779	134.69333333333333
BQL	AU	-22.913055555555555	139.90083333333334
BQN	PR	18.495	-67.12944444444443
BQS	RU	50.42527777777777	127.41250000000001
BQU	VC	12.983333333333333	-61.25
BQW	AU	-20.133333333333333	127.8
BRA	BR	-12.079166666666666	-45.00944444444445
BRB	BR	-2.8333333333333335	-42.833333333333336
BRC	AR	-41.151111111111106	-71.15777777777778
BRD	US	46.40333333333333	-94.12972222222221
BRE	DE	53.0475	8.786666666666667
BRI	IT	41.13805555555555	16.765
BRK	AU	-30.040555555555557	145.94666666666666
BRL	US	40.779444444444444	-91.12249999999999
BRM	VE	10.042777777777777	-69.3586111111111
BRN	CH	46.916666666666664	7.5
BRO	US	25.90694444444444	-97.42583333333334
BRQ	CZ	49.15138888888889	16.694444444444446
BRR	GB	57.025555555555556	-7.449722222222222
BRS	GB	51.3825	-2.718888888888889
BRU	BE	50.90277777777778	4.483333333333333
BRW	US	71.28555555555555	-156.76611111111112
BSA	SO	11.275555555555556	49.157777777777774
BSB	BR	-15.871111111111112	-47.91861111111111
BSC	CO	6.203055555555555	-77.39527777777778
BSD	CN	25.053611111111113	99.16805555555555
BSG	GQ	1.9055555555555554	9.805555555555557
BSK	DZ	34.79333333333333	5.738333333333333
BSO	PH	20.45138888888889	121.98
BSR	IQ	30.549166666666668	47.66222222222222
BTC	LK	7.704722222222222	81.67666666666668
BTH	ID	1.1211111111111112	104.11888888888888
BTI	US	70.13388888888889	-143.58194444444445
BTJ	ID	5.523611111111111	95.42027777777778
BTK	RU	56.370555555555555	101.69833333333334
BTM	US	45.95472222222222	-112.4975
BTR	US	30.533055555555556	-91.14972222222222
BTS	SK	48.17027777777778	17.212777777777777
BTT	US	66.91388888888889	-151.52916666666667
BTU	MY	3.1241666666666665	113.01972222222223
BTV	US	44.471944444444446	-73.15333333333334
BTW	ID	-3.45	116.0
BUA	PG	-5.4222222222222225	154.67277777777778
BUC	AU	-17.748611111111114	139.53444444444443
BUD	HU	47.43694444444444	19.255555555555556
BUE	AR	-34.57222222222222	-58.37027777777778
BUF	US	42.940555555555555	-78.73222222222222
BUH	RO	44.50277777777778	26.083333333333332
BUL	PG	-7.216388888888889	146.65
BUN	CO	3.819722222222222	-76.98972222222223
BUP	IN	30.27027777777778	74.75583333333333
BUQ	ZW	-20.0175	28.61777777777778
BUR	US	34.20055555555556	-118.3586111111111
BUS	GE	41.61027777777778	41.599722222222226
BUT	BT	27.563055555555557	90.74666666666667
BUU	ID	-1.5416666666666665	102.18166666666667
BUW	ID	-5.4875	122.56888888888888
BUX	CD	1.5658333333333334	30.22083333333333
BUZ	IR	28.949444444444445	50.83027777777778
BVB	BR	2.846388888888889	-60.69
BVC	CV	16.136666666666667	-22.88888888888889
BVE	FR	45.151666666666664	1.4719444444444445
BVG	NO	70.8711111111111	29.028888888888886
BVH	BR	-12.694444444444445	-60.098333333333336
BVI	AU	-25.891944444444444	139.3452777777778
BVS	BR	-1.6666666666666665	-50.46666666666667
BWA	NP	27.50583333333333	83.41638888888889
BWB	AU	-20.8	115.38333333333334
BWE	DE	52.31916666666667	10.556111111111111
BWG	US	36.9675	-86.41916666666667
BWI	US	39.166666666666664	-76.66666666666667
BWK	HR	43.28583333333333	16.679722222222225
BWN	BN	4.944166666666667	114.92833333333334
BWT	AU	-40.99722222222222	145.72666666666666
BWX	ID	-8.31027777777778	114.33999999999999
BXB	ID	-2.5349999999999997	133.4388888888889
BXG	AU	-36.734722222222224	144.3186111111111
BXR	IR	29.084166666666665	58.44972222222222
BXU	PH	8.950555555555555	125.48138888888889
BYC	BO	-21.961111111111112	-63.651944444444446
BYH	US	35.93333333333333	-89.91666666666667
BYK	CI	7.736944444444444	-5.071111111111111
BYM	CU	20.39638888888889	-76.62138888888889
BYO	BR	-21.247222222222224	-56.4525
BYP	AU	-22.6725	119.16583333333334
BYR	DK	57.27722222222222	11.0
BYW	US	48.583333333333336	-122.83333333333333
BZE	BZ	17.533333333333335	-88.3
BZG	PL	53.09666666666667	17.977777777777778
BZL	BD	22.801111111111112	90.30111111111111
BZN	US	45.777499999999996	-111.15305555555557
BZO	IT	46.46083333333333	11.326666666666666
BZR	FR	43.32333333333334	3.3533333333333335
BZV	CG	-4.251666666666667	15.253055555555555
BZX	CN	31.738055555555558	106.64416666666668
CAB	AO	-5.597222222222222	12.188055555555556
CAC	BR	-25.00027777777778	-53.50083333333333
CAE	US	33.95	-81.11666666666666
CAF	BR	-4.870833333333334	-66.89722222222223
CAG	IT	39.25138888888889	9.057777777777778
CAH	VN	9.177777777777777	105.17750000000001
CAI	EG	30.059722222222224	31.250833333333333
CAK	US	41.06666666666667	-81.51666666666667
CAL	GB	55.43722222222222	-5.686388888888889
CAN	CN	23.3925	113.29888888888888
CAP	HT	19.733055555555556	-72.19472222222223
CAT	PT	38.721944444444446	-9.35361111111111
CAU	BR	-8.283333333333333	-35.96666666666667
CAW	BR	-21.698333333333334	-41.30166666666666
CAY	GF	4.819722222222222	-52.36055555555556
CAZ	AU	-31.5375	145.79444444444445
CBB	BO	-17.421111111111113	-66.17722222222223
CBG	GB	52.205000000000005	0.175
CBH	DZ	31.64611111111111	-2.278888888888889
CBI	AU	-40.390277777777776	148.01527777777778
CBL	VE	8.121944444444445	-63.53722222222222
CBO	PH	7.165277777777778	124.20972222222223
CBQ	NG	4.976111111111111	8.347222222222223
CBR	AU	-35.30694444444444	149.195
CBT	AO	-12.481388888888889	13.486944444444443
CCC	CU	22.461111111111112	-78.32833333333333
CCF	FR	43.215833333333336	2.308611111111111
CCJ	IN	11.136944444444444	75.95527777777778
CCK	CC	-12.1875	96.83138888888888
CCP	CL	-36.772777777777776	-73.06305555555555
CCR	US	37.99194444444444	-122.05583333333333
CCS	VE	10.603055555555555	-66.99055555555556
CCU	IN	22.654722222222222	88.44666666666667
CCV	VU	-16.264444444444443	167.92416666666665
CCZ	BS	25.41722222222222	-77.88083333333333
CDB	US	55.20611111111111	-162.72555555555556
CDC	US	37.700833333333335	-113.09888888888888
CDE	CN	41.12138888888889	118.0761111111111
CDP	IN	14.512777777777778	78.7725
CDR	US	42.835	-103.09861111111111
CDT	ES	40.21416666666667	0.07333333333333333
CDV	US	60.483333333333334	-145.48333333333332
CDW	US	40.875277777777775	-74.28083333333333
CEB	PH	10.307500000000001	123.97944444444444
CEC	US	41.780277777777776	-124.23666666666666
CED	AU	-32.13055555555555	133.7097222222222
CEE	RU	59.278055555555554	38.0225
CEI	TH	19.952222222222222	99.88305555555554
CEK	RU	55.30583333333333	61.50333333333333
CEL	BR	-29.370555555555555	-50.83222222222223
CEM	US	65.5736111111111	-144.77916666666667
CEN	MX	27.392777777777777	-109.83305555555555
CEQ	FR	43.55	7.016666666666667
CEZ	US	37.30305555555555	-108.6286111111111
CFB	BR	-22.925	-42.078611111111115
CFE	FR	45.78583333333333	3.1625
CFG	CU	22.15	-80.41416666666667
CFK	DZ	36.21277777777778	1.3316666666666666
CFN	IE	55.04416666666666	-8.341111111111111
CFR	FR	49.17333333333333	-0.45
CFS	AU	-30.320555555555554	153.11638888888888
CFU	GR	39.60194444444445	19.911666666666665
CGA	US	55.483333333333334	-133.15
CGB	BR	-15.653055555555556	-56.11666666666667
CGD	CN	28.91861111111111	111.64083333333333
CGI	US	37.22527777777778	-89.57083333333333
CGM	PH	9.25361111111111	124.70694444444445
CGN	DE	50.86666666666667	7.15
CGO	CN	34.519444444444446	113.8411111111111
CGP	BD	22.249722222222225	91.81333333333333
CGQ	CN	43.99611111111111	125.68527777777778
CGR	BR	-20.46861111111111	-54.6725
CGY	PH	8.612499999999999	124.45694444444445
CHA	US	35.03333333333333	-85.2
CHC	NZ	-43.489444444444445	172.53222222222223
CHG	CN	41.54138888888889	120.43388888888889
CHH	PE	-6.201944444444445	-77.85638888888889
CHI	US	41.87444444444444	-87.63944444444445
CHO	US	38.13861111111111	-78.45277777777778
CHQ	GR	35.531666666666666	24.149722222222223
CHS	US	32.89861111111111	-80.04055555555556
CHT	NZ	-43.81194444444444	-176.46499999999997
CHU	US	61.584722222222226	-159.23777777777775
CHX	PA	9.458888888888888	-82.51527777777778
CHY	SB	-6.711944444444445	156.3961111111111
CID	US	41.88472222222222	-91.71083333333334
CIF	CN	42.16	118.84083333333332
CIH	CN	36.2475	113.12583333333333
CIJ	BO	-11.040555555555555	-68.78305555555555
CIK	US	66.64416666666668	-143.74277777777777
CIT	KZ	42.36416666666667	69.47888888888889
CIW	VC	12.699166666666667	-61.3425
CIX	PE	-6.7875	-79.82805555555555
CIY	IT	36.99472222222222	14.606944444444444
CIZ	BR	-4.134166666666667	-63.1325
CJA	PE	-7.139166666666667	-78.48944444444444
CJB	IN	11.030000000000001	77.04333333333334
CJC	CL	-22.498055555555556	-68.90805555555556
CJF	AU	-22.965	118.8125
CJJ	KR	36.71666666666667	127.49916666666667
CJM	TH	10.711388888888887	99.36166666666666
CJS	MX	31.63611111111111	-106.42861111111111
CJU	KR	33.50472222222222	126.49305555555556
CJZ	BR	-6.882777777777778	-38.61833333333333
